"Year","Week","GID","Team_fmt","Opp_fmt","h.a","Name","Pos","DK.points","DK.salary"
2018,1,7021,"NYJ","DET","a","New York J","Def",26,2400
2018,1,7017,"MIN","SF","h","Minnesota","Def",18,3500
2018,1,7025,"LA","OAK","a","LA Rams","Def",17,3600
2018,1,7003,"BAL","BUF","h","Baltimore","Def",17,3800
2018,1,7008,"CLE","PIT","h","Cleveland","Def",16,2000
2018,1,7006,"CHI","GB","a","Chicago","Def",14,2300
2018,1,7014,"JAX","NYG","a","Jacksonville","Def",13,3700
2018,1,7016,"MIA","TEN","h","Miami","Def",13,2400
2018,1,7031,"WAS","ARI","a","Washington","Def",13,2800
2018,1,7010,"DEN","SEA","h","Denver","Def",12,3300
2018,1,7007,"CIN","IND","a","Cincinnati","Def",12,2700
2018,1,7005,"CAR","DAL","h","Carolina","Def",12,3200
2018,1,7024,"PIT","CLE","a","Pittsburgh","Def",11,3400
2018,1,7030,"TEN","MIA","a","Tennessee","Def",11,2900
2018,1,7023,"PHI","ATL","h","Philadelphia","Def",10,3000
2018,1,7015,"KC","LAC","a","Kansas City","Def",10,2300
2018,1,7011,"DET","NYJ","h","Detroit","Def",8,3400
2018,1,7032,"HOU","NE","a","Houston","Def",8,2200
2018,1,7018,"NE","HOU","h","New England","Def",8,2400
2018,1,7029,"TB","NO","a","Tampa Bay","Def",7,2000
2018,1,7002,"ATL","PHI","a","Atlanta","Def",7,2500
2018,1,7028,"SEA","DEN","a","Seattle","Def",7,3100
2018,1,7012,"GB","CHI","h","Green Bay","Def",7,3200
2018,1,7009,"DAL","CAR","a","Dallas","Def",6,2300
2018,1,7027,"SF","MIN","a","San Francisco","Def",6,2100
2018,1,7001,"ARI","WAS","h","Arizona","Def",5,2500
2018,1,7013,"IND","CIN","h","Indianapolis","Def",5,2400
2018,1,7020,"NYG","JAX","h","New York G","Def",4,2600
2018,1,7022,"OAK","LA","h","Oakland","Def",1,2200
2018,1,7004,"BUF","BAL","a","Buffalo","Def",0,3000
2018,1,7026,"LAC","KC","h","LA Chargers","Def",-3,2800
2018,1,7019,"NO","TB","h","New Orleans","Def",-4,3600
2018,2,7006,"CHI","SEA","h","Chicago","Def",17,2800
2018,2,7016,"MIA","NYJ","a","Miami","Def",13,3100
2018,2,7025,"LA","ARI","h","LA Rams","Def",13,3700
2018,2,7009,"DAL","NYG","h","Dallas","Def",12,2500
2018,2,7012,"GB","MIN","h","Green Bay","Def",11,2500
2018,2,7007,"CIN","BAL","h","Cincinnati","Def",10,2700
2018,2,7026,"LAC","BUF","a","LA Chargers","Def",10,3600
2018,2,7021,"NYJ","MIA","h","New York J","Def",9,2500
2018,2,7013,"IND","WAS","a","Indianapolis","Def",9,2300
2018,2,7029,"TB","PHI","h","Tampa Bay","Def",7,2200
2018,2,7008,"CLE","NO","a","Cleveland","Def",7,2000
2018,2,7028,"SEA","CHI","a","Seattle","Def",7,2600
2018,2,7030,"TEN","HOU","h","Tennessee","Def",7,2400
2018,2,7019,"NO","CLE","h","New Orleans","Def",6,3200
2018,2,7023,"PHI","TB","a","Philadelphia","Def",6,3400
2018,2,7014,"JAX","NE","h","Jacksonville","Def",5,2800
2018,2,7011,"DET","SF","a","Detroit","Def",5,2300
2018,2,7031,"WAS","IND","h","Washington","Def",5,2700
2018,2,7010,"DEN","OAK","h","Denver","Def",4,3300
2018,2,7022,"OAK","DEN","a","Oakland","Def",4,2300
2018,2,7027,"SF","DET","h","San Francisco","Def",4,2800
2018,2,7002,"ATL","CAR","h","Atlanta","Def",4,2700
2018,2,7001,"ARI","LA","a","Arizona","Def",3,2100
2018,2,7017,"MIN","GB","a","Minnesota","Def",3,2600
2018,2,7018,"NE","JAX","a","New England","Def",3,3000
2018,2,7032,"HOU","TEN","a","Houston","Def",2,2600
2018,2,7004,"BUF","LAC","h","Buffalo","Def",1,2100
2018,2,7005,"CAR","ATL","a","Carolina","Def",1,2900
2018,2,7024,"PIT","KC","h","Pittsburgh","Def",1,2700
2018,2,7020,"NYG","DAL","a","New York G","Def",1,2700
2018,2,7003,"BAL","CIN","a","Baltimore","Def",-1,2800
2018,2,7015,"KC","PIT","a","Kansas City","Def",-3,2200
2018,3,7004,"BUF","MIN","a","Buffalo","Def",17,2000
2018,3,7024,"PIT","TB","a","Pittsburgh","Def",17,2600
2018,3,7028,"SEA","DAL","h","Seattle","Def",15,2900
2018,3,7025,"LA","LAC","h","LA Rams","Def",14,3100
2018,3,7006,"CHI","ARI","a","Chicago","Def",13,3500
2018,3,7030,"TEN","JAX","a","Tennessee","Def",12,2300
2018,3,7005,"CAR","CIN","h","Carolina","Def",10,2700
2018,3,7013,"IND","PHI","a","Indianapolis","Def",10,2100
2018,3,7008,"CLE","NYJ","h","Cleveland","Def",9,3000
2018,3,7011,"DET","NE","h","Detroit","Def",8,2000
2018,3,7016,"MIA","OAK","h","Miami","Def",8,2700
2018,3,7001,"ARI","CHI","h","Arizona","Def",8,2400
